Date,Investment
2014-10-08,30000
2014-11-10,30000
2014-12-08,30000
2015-01-08,30000
2015-02-09,30000
2015-03-09,30000
2015-04-08,30000
2015-05-08,30000
2015-06-08,30000
2015-07-08,30000
2015-08-10,30000
2015-09-08,30000
2015-10-08,30000
2015-11-09,30000
2015-12-08,30000
2016-01-08,30000
2016-02-08,30000
2016-03-08,30000
2016-04-08,30000
2016-05-09,30000
2016-06-08,30000
2016-07-08,30000
2016-08-08,30000
2016-09-08,30000
2016-10-10,30000
2016-11-08,30000
2016-12-08,30000
2017-01-09,30000
2017-02-08,30000
2017-03-08,30000
2017-04-10,30000
2017-05-08,30000
2017-06-08,30000
2017-07-10,30000
2017-08-08,30000
2017-09-08,30000
2017-10-09,30000
2017-11-08,30000
2017-12-08,30000
2018-01-08,30000
2018-02-08,30000
2018-03-08,30000
2018-04-09,30000
2018-05-08,30000
2018-06-08,30000
2018-07-09,30000
2018-08-08,30000
2018-09-10,30000
2018-10-08,30000
2018-11-09,30000
2018-12-10,30000
2019-01-08,30000
2019-02-08,30000
2019-03-08,30000
2019-04-08,30000
2019-05-08,30000
2019-06-10,30000
2019-07-08,30000
2019-08-08,30000
2019-09-09,30000
2019-10-09,30000
2019-11-08,30000
2019-12-09,30000
2020-01-08,30000
2020-02-10,30000
2020-03-09,30000
2020-04-08,30000
2020-05-08,30000
2020-06-08,30000
2020-07-08,30000
2020-08-10,30000
2020-09-08,30000
2020-10-08,30000
2020-11-09,30000
2020-12-08,30000
2021-01-08,30000
2021-02-08,30000
2021-03-08,30000
2021-04-08,30000
2021-05-10,30000
2021-06-08,30000
2021-07-08,30000
2021-08-09,30000
2021-09-08,30000
2021-10-08,30000
2021-11-08,30000
2021-12-08,30000
2022-01-10,30000
2022-02-08,30000
2022-03-08,30000
2022-04-08,30000
2022-05-09,30000
2022-06-08,30000
2022-07-08,30000
2022-08-08,30000
2022-09-08,30000
2022-10-10,30000
2022-11-09,30000
2022-12-08,30000
2023-01-09,30000
2023-02-08,30000
2023-03-08,30000
2023-04-10,30000
2023-05-08,30000
2023-06-08,30000
2023-07-10,30000
2023-08-08,30000
2023-09-08,30000
2023-10-09,30000
2023-11-08,30000
2023-12-08,30000
2024-01-08,30000
2024-02-08,30000
2024-03-11,30000
2024-04-08,30000
2024-05-08,30000
2024-06-10,30000
2024-07-08,30000
2024-08-08,30000
,30000
